com.example.kursova.macroobjects.Blackjack@74bb9d83
com.example.kursova.macroobjects.Poker@23d35afb
com.example.kursova.macroobjects.Roulette@6641d24f
Poor { name: name; money: 16000; Win rating: 0; lose rating: 1; X: 290.0; Y: 290.0 }
Poor { name: name; money: 16000; Win rating: 0; lose rating: 1; X: 295.0; Y: 290.0 }
Poor { name: name; money: 16000; Win rating: 0; lose rating: 1; X: 300.0; Y: 290.0 }
Poor { name: name; money: 16000; Win rating: 0; lose rating: 1; X: 305.0; Y: 290.0 }
Poor { name: name; money: 16000; Win rating: 0; lose rating: 1; X: 310.0; Y: 290.0 }
Poor { name: name; money: 16000; Win rating: 0; lose rating: 1; X: 315.0; Y: 290.0 }
Poor { name: name; money: 16000; Win rating: 0; lose rating: 1; X: 320.0; Y: 290.0 }
Poor { name: name; money: 16000; Win rating: 0; lose rating: 1; X: 325.0; Y: 290.0 }
Poor { name: name; money: 16000; Win rating: 0; lose rating: 1; X: 330.0; Y: 290.0 }
Poor { name: name; money: 16000; Win rating: 0; lose rating: 1; X: 335.0; Y: 290.0 }
Poor { name: name; money: 16000; Win rating: 0; lose rating: 1; X: 340.0; Y: 290.0 }
Poor { name: name; money: 16000; Win rating: 0; lose rating: 1; X: 345.0; Y: 290.0 }
Poor { name: name; money: 16000; Win rating: 0; lose rating: 1; X: 350.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 355.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 360.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 365.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 370.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 375.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 380.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 385.0; Y: 290.0 }
